SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BPF01QDD,BMF-BCRF-Plan A Qtly Div Payout SP1,MF,23-MAR-2020,1,1,INF955L01IP4,10
BPF01QDR,BMF-BCRF-Plan A Qtly Div Reinv SP1,MF,23-MAR-2020,1,1,INF955L01IQ2,10
BPF02D1R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- GO -SP1,MF,23-MAR-2020,1,1,INF955L01JK3,1000
BPF02D2G,Baroda MF - Baroda Treasury Advantage Fund - Plan A- DDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JF3,1000
BPF02D3D,Baroda MF - Baroda Treasury Advantage Fund - Plan A- WDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JI7,1000
BPF02D3R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- MDPO -SP1,MF,23-MAR-2020,1,1,INF955L01JJ5,1000
BPF02D4D,Baroda MF - Baroda Treasury Advantage Fund - Plan A- MDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JG1,1000
BPF02D4R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- QDPO -SP1,MF,23-MAR-2020,1,1,INF955L01JH9,1000
BPF02D5R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- QDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JL1,1000
BPF02IDR,Baroda MF - Baroda Treasury Advantage Fund - Plan B -GO - SP1,MF,23-MAR-2020,1,1,INF955L01JD8,1000
BPF02IGG,Baroda MF - Baroda Treasury Advantage Fund - Plan B -DDRO - SP1,MF,23-MAR-2020,1,1,INF955L01IY6,1000
BPF02IMD,Baroda MF - Baroda Treasury Advantage Fund - Plan B -WDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JB2,1000
BPF02IMR,Baroda MF - Baroda Treasury Advantage Fund - Plan B -MDPO - SP1,MF,23-MAR-2020,1,1,INF955L01JC0,1000
BPF02IQD,Baroda MF - Baroda Treasury Advantage Fund - Plan B -MDRO - SP1,MF,23-MAR-2020,1,1,INF955L01IZ3,1000
BPF02IWR,Baroda MF - Baroda Treasury Advantage Fund - Plan B -QDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JE6,1000
BPF02RDR,Baroda MF - Baroda Treasury Advantage Fund - RPGO - SP1,MF,23-MAR-2020,1,1,INF955L01JN7,1000
BPF02RGG,Baroda MF - Baroda Treasury Advantage Fund - RPDDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JM9,1000
BPF02RMD,Baroda MF - Baroda Treasury Advantage Fund - RPWDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JP2,1000
BPF02RMR,Baroda MF - Baroda Treasury Advantage Fund - RPMDPO - SP1,MF,23-MAR-2020,1,1,INF955L01JQ0,1000
BPF02RWR,Baroda MF - Baroda Treasury Advantage Fund - RPMDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JO5,1000
BSLIFQPIDG,Aditya Birla SL MF AB SL - IIF- Qtrly Plan - Series I - Direct - G,MF,28-MAR-2013,10,1,INF209K01YQ3,10
BSLIQPIIDP, Aditya Birla SL Int. IF - QP - SI - IPDP,MF,01-APR-2011,10,1,INF209K01HR6,10
BSLIQPIRDP, Aditya Birla SL Int. IF - QP - SI - RPDP,MF,01-APR-2011,10,1,INF209K01HO3,10
BSLIQPIRG, Aditya Birla SL Int. IF - QP - SI - RPG,MF,01-APR-2011,10,1,INF209K01HN5,10
DPDPOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01116,10
DPGOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01108,10
F13DG,Union Mutual Fund - Union Fixed Maturity Plan-Sr 13(1114D) -DP-G,MF,10-APR-2023,10,1,INF582M01IW0,10
F13RG,Union Mutual Fund - Union Fixed Maturity Plan -Sr 13(1114D) -RP-G,MF,10-APR-2023,10,1,INF582M01IY6,10
F13RP,Union Mutual Fund - Union Fixed Maturity Plan -Sr 13(1114D)-RP-IDCWP,MF,10-APR-2023,10,1,INF582M01IZ3,10
FICRF3DP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser RG,MF,24-MAR-2020,1,1,INF090I01VW5,1
FICRF3GP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se RDP,MF,24-MAR-2020,1,1,INF090I01VX3,1
FICRFD3DPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se DDP,MF,24-MAR-2020,1,1,INF090I01VY1,1
FICRFD3GPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser DG,MF,24-MAR-2020,1,1,INF090I01VZ8,1
FISTIP3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RDG,MF,24-MAR-2020,1,1,INF090I01VN4,1
FISTIP3MDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDWDP,MF,24-MAR-2020,1,1,INF090I01VP9,1
FISTIP3QDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDMDP,MF,24-MAR-2020,1,1,INF090I01VO2,1
FISTIP3WDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDQDP,MF,24-MAR-2020,1,1,INF090I01VQ7,1
FISTIPD3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser IRG,MF,24-MAR-2020,1,1,INF090I01VS3,1
FISTIPD3MD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RRG,MF,24-MAR-2020,1,1,INF090I01VU9,1
FISTIPD3QD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRMDP,MF,24-MAR-2020,1,1,INF090I01VT1,1
FISTIPD3WD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRWDP,MF,24-MAR-2020,1,1,INF090I01VV7,1
FISTIPIP3G,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRQDP,MF,24-MAR-2020,1,1,INF090I01VR5,1
H1158D46DD,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - DP-NIDCWP,MF,02-AUG-2022,10,1,INF179KC1CV7,10
H1158D46DG,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - DP-G,MF,02-AUG-2022,10,1,INF179KC1CU9,10
H1158D46DQ,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - DP-QIDCWP,MF,02-AUG-2022,10,1,INF179KC1CW5,10
H1158D46RD,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - RP-NIDCWP,MF,02-AUG-2022,10,1,INF179KC1CY1,10
H1158D46RG,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - RP-G,MF,02-AUG-2022,10,1,INF179KC1CX3,10
H1158D46RQ,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - RP-QIDCWP,MF,02-AUG-2022,10,1,INF179KC1CZ8,10
H1162D46DD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - DPN - IDCW,MF,23-MAR-2022,10,1,INF179KC1CJ2,10
H1162D46DG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - DP - G,MF,23-MAR-2022,10,1,INF179KC1CI4,10
H1162D46DQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - DPQ - IDCW,MF,23-MAR-2022,10,1,INF179KC1CK0,10
H1162D46RD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RPN - IDCW,MF,23-MAR-2022,10,1,INF179KC1CM6,10
H1162D46RG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RP - G,MF,23-MAR-2022,10,1,INF179KC1CL8,10
H1162D46RQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RPQ - IDCW,MF,23-MAR-2022,10,1,INF179KC1CN4,10
H1861D46DD,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DPN - IDCW,MF,16-MAR-2022,10,1,INF179KC1CD5,10
H1861D46DG,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DP - G,MF,16-MAR-2022,10,1,INF179KC1CC7,10
H1861D46DQ,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DPQ - IDCW,MF,16-MAR-2022,10,1,INF179KC1CE3,10
H1861D46RD,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RP - IDCW,MF,16-MAR-2022,10,1,INF179KC1CG8,10
H1861D46RG,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RP - G,MF,16-MAR-2022,10,1,INF179KC1CF0,10
H1861D46RQ,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RPQ - IDCW,MF,16-MAR-2022,10,1,INF179KC1CH6,10
H187646RG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - RO - G,MF,05-APR-2022,10,1,INF179KC1CR5,10
H1876D46DD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - DON - IDCW,MF,05-APR-2022,10,1,INF179KC1CP9,10
H1876D46DG,HDFC Mutual Fund - HDFC FMP -Series 46-Plan 3-DO-G,MF,05-APR-2022,10,1,INF179KC1CO2,10
H1876D46DQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - DOQ - IDCW,MF,05-APR-2022,10,1,INF179KC1CQ7,10
H1876D46RD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RON - IDCW,MF,05-APR-2022,10,1,INF179KC1CS3,10
H1876D46RQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - ROQ - IDCW,MF,05-APR-2022,10,1,INF179KC1CT1,10
HDFC1204DD,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - DO-NIDCWPO,MF,03-JAN-2023,10,1,INF179KC1EO8,10
HDFC1204DG,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - DO-GO,MF,03-JAN-2023,10,1,INF179KC1EN0,10
HDFC1204DQ,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - DO-QIDCWPO,MF,03-JAN-2023,10,1,INF179KC1EP5,10
HDFC1204RD,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - RO-NIDCWPO,MF,03-JAN-2023,10,1,INF179KC1ER1,10
HDFC1204RG,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - RO-GO,MF,03-JAN-2023,10,1,INF179KC1EQ3,10
HDFC1204RQ,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - RO-QIDCWPO,MF,03-JAN-2023,10,1,INF179KC1ES9,10
HDFC1359DD,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-DP-NIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DP7,10
HDFC1359DG,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-DP-GO,MF,18-OCT-2022,10,1,INF179KC1DO0,10
HDFC1359DQ,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-DP-QIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DQ5,10
HDFC1359RD,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-RP-NIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DS1,10
HDFC1359RG,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-RP-GO,MF,18-OCT-2022,10,1,INF179KC1DR3,10
HDFC1359RQ,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-RP-QIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DT9,10
HDFC1406DD,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - DO-NIDCWP,MF,01-SEP-2022,10,1,INF179KC1DD3,10
HDFC1406DG,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - DO-GO,MF,01-SEP-2022,10,1,INF179KC1DC5,10
HDFC1406DQ,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - DO-QIDCWP,MF,01-SEP-2022,10,1,INF179KC1DE1,10
HDFC1406RD,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - RO-NIDCWP,MF,01-SEP-2022,10,1,INF179KC1DG6,10
HDFC1406RG,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - RO-GO,MF,01-SEP-2022,10,1,INF179KC1DF8,10
HDFC1406RQ,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - RO-QIDCWP,MF,01-SEP-2022,10,1,INF179KC1DH4,10
HDFC2638DG,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - DP-GO,MF,02-MAR-2023,10,1,INF179KC1FK3,10
HDFC2638DQ,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - DP-QIDCWPO,MF,02-MAR-2023,10,1,INF179KC1FM9,10
