SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
HUDCO,Housing & Urban Development Corporation Limited,NB,1000,1000,1,8.51,22-MAR-2017,25-OCT-2013,25-OCT-2028,,,,,INE031A07915
HUDCO,Housing & Urban Development Corporation Limited,NC,1000,1000,1,8.58,22-MAR-2017,13-JAN-2014,13-JAN-2029,,,,,INE031A07972
HUDCO,Housing & Urban Development Corporation Limited,ND,1000,1000,1,8.76,22-MAR-2017,25-OCT-2013,25-OCT-2028,,,,,INE031A07949
HUDCO,Housing & Urban Development Corporation Limited,NE,1000,1000,1,9.01,22-MAR-2017,13-JAN-2014,13-JAN-2034,,,,,INE031A07AB2
IBUCCREDIT,Indiabulls Commercial Credit Limited,NA,1000,1000,1,8.75,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07150
IBUCCREDIT,Indiabulls Commercial Credit Limited,NB,1000,1000,1,8.84,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07168
IBUCCREDIT,Indiabulls Commercial Credit Limited,NC,1000,1000,1,9.1,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07176
IBUCCREDIT,Indiabulls Commercial Credit Limited,ND,1000,1000,1,9.2,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07184
IBUCCREDIT,Indiabulls Commercial Credit Limited,NE,1000,1000,1,9.8,06-FEB-2023,,02-FEB-2025,,,,,INE244L07275
IBUCCREDIT,Indiabulls Commercial Credit Limited,NF,1000,1000,1,,06-FEB-2023,,02-FEB-2025,,,,,INE244L07291
IBUCCREDIT,Indiabulls Commercial Credit Limited,NG,1000,1000,1,,06-FEB-2023,,02-FEB-2025,,,,,INE244L07358
IBUCCREDIT,Indiabulls Commercial Credit Limited,NH,1000,1000,1,9.4,06-FEB-2023,,02-FEB-2025,,,,,INE244L07366
IBUCCREDIT,Indiabulls Commercial Credit Limited,NI,1000,1000,1,10.05,06-FEB-2023,,02-FEB-2026,,,,,INE244L07333
IBUCCREDIT,Indiabulls Commercial Credit Limited,NJ,1000,1000,1,,06-FEB-2023,,02-FEB-2026,,,,,INE244L07309
IBUCCREDIT,Indiabulls Commercial Credit Limited,NK,1000,1000,1,9.61,06-FEB-2023,,02-FEB-2026,,,,,INE244L07390
IBUCCREDIT,Indiabulls Commercial Credit Limited,NL,1000,1000,1,9.8,06-FEB-2023,,02-FEB-2028,,,,,INE244L07317
IBUCCREDIT,Indiabulls Commercial Credit Limited,NM,1000,1000,1,10.3,06-FEB-2023,,02-FEB-2028,,,,,INE244L07283
IBUCCREDIT,Indiabulls Commercial Credit Limited,NN,1000,1000,1,9.4,06-FEB-2023,,02-FEB-2028,,,,,INE244L07408
IBUCCREDIT,Indiabulls Commercial Credit Limited,NO,1000,1000,1,9.85,06-FEB-2023,,02-FEB-2028,,,,,INE244L07416
IBUCCREDIT,Indiabulls Commercial Credit Limited,NP,1000,1000,1,9.6,27-APR-2023,,25-APR-2025,,,,,INE244L07424
IBUCCREDIT,Indiabulls Commercial Credit Limited,NQ,1000,1000,1,10,27-APR-2023,,25-APR-2025,,,,,INE244L07457
IBUCCREDIT,Indiabulls Commercial Credit Limited,NR,1000,1000,1,9.57,27-APR-2023,,25-APR-2025,,,,,INE244L07432
IBUCCREDIT,Indiabulls Commercial Credit Limited,NS,1000,1000,1,,27-APR-2023,,25-APR-2025,,,,,INE244L07473
IBUCCREDIT,Indiabulls Commercial Credit Limited,NT,1000,1000,1,10.25,27-APR-2023,,25-APR-2026,,,,,INE244L07507
IBUCCREDIT,Indiabulls Commercial Credit Limited,NU,1000,1000,1,9.8,27-APR-2023,,25-APR-2026,,,,,INE244L07499
IBUCCREDIT,Indiabulls Commercial Credit Limited,NV,1000,1000,1,,27-APR-2023,,25-APR-2026,,,,,INE244L07531
IBUCCREDIT,Indiabulls Commercial Credit Limited,NW,1000,1000,1,,27-APR-2023,,25-APR-2026,,,,,INE244L07549
IBUCCREDIT,Indiabulls Commercial Credit Limited,NX,1000,1000,1,10.5,27-APR-2023,,25-APR-2028,,,,,INE244L07556
IBUCCREDIT,Indiabulls Commercial Credit Limited,NY,1000,1000,1,9.57,27-APR-2023,,25-APR-2028,,,,,INE244L07564
IBUCCREDIT,Indiabulls Commercial Credit Limited,NZ,1000,1000,1,10.03,27-APR-2023,,25-APR-2028,,,,,INE244L07523
IBULHSG,Indiabulls Housing Finance Limited,N1,1000,1000,1,10.25,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PP5
IBULHSG,Indiabulls Housing Finance Limited,N2,1000,1000,1,10.75,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PT7
IBULHSG,Indiabulls Housing Finance Limited,N3,1000,1000,1,9.8,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PU5
IBULHSG,Indiabulls Housing Finance Limited,N4,1000,1000,1,10.25,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PV3
IBULHSGFIN,Indiabulls Housing Finance Limited,N0,1000,1000,1,9.39,30-DEC-2022,,28-DEC-2027,,,,,INE148I07ND6
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2016,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2017,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2018,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2019,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2020,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2021,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2022,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2023,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2024,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-OCT-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-NOV-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-DEC-2025,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JAN-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-FEB-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAR-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-APR-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-MAY-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUN-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-JUL-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-AUG-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2026,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N8,1000,1000,1,8.65,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,,INE148I07GJ7
IBULHSGFIN,Indiabulls Housing Finance Limited,N9,1000,1000,1,8.85,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2017,INE148I07GK5
IBULHSGFIN,Indiabulls Housing Finance Limited,N9,1000,1000,1,8.85,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2018,INE148I07GK5
IBULHSGFIN,Indiabulls Housing Finance Limited,N9,1000,1000,1,8.85,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2019,INE148I07GK5
IBULHSGFIN,Indiabulls Housing Finance Limited,N9,1000,1000,1,8.85,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2020,INE148I07GK5
IBULHSGFIN,Indiabulls Housing Finance Limited,N9,1000,1000,1,8.85,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2021,INE148I07GK5
IBULHSGFIN,Indiabulls Housing Finance Limited,N9,1000,1000,1,8.85,28-SEP-2016,26-SEP-2016,26-SEP-2026,,,,26-SEP-2022,INE148I07GK5
